Type;Reference;DOI
Literature;Neiva, J., Pearson, G., Valero, M. & Serrão, E. Fine-scale Genetic Breaks Driven By Historical Range Dynamics And Ongoing Density-barrier Effects In The Estuarine Seaweed Fucus Ceranoides L.. BMC Evol. Biol. 12: 1, 78 (2012) ;10.1186/1471-2148-12-78
Literature;Melissa, C., Peter, T. R., Richard, F. A., John, M. E., Steven, N. M. Monitoring Of Rocky Intertidal Resources Along The Central And Southern California Mainland Comprehensive Report (1992-2003) For San Luis Obispo, Santa Barbara, Ventura, Los Angeles, And Orange Counties Ocs Study,  101. (2005);
Literature;Carmen, F., Coowe, W. A Site Profile Of The Kachemak Bay Research Reserve: A Unit Of The National Estuarine Research Reserve System. Kachemak Bay Research Reserve Homer, Alaska (2003)´;
Literature;Coyer, J., Hoarau, G., Oudot-le Secq, M., Stam, W. & Olsen, J. A Mtdna-based Phylogeny Of The Brown Algal Genus Fucus (heterokontophyt., Phaeophyta). Mol. Phylogenet. Evol. 39: 1, 209-222 (2006) ;10.1016/j.ympev.2006.01.019
Literature;Keith, B., Tina, V. B. & Tina, K. Vegetation Map And Classification: Southern Alaska And Aleutian Islands Alaska Natural Heritage Program, University of Alaska: Anchorage, AK, p. 110. (2014);
Literature;Leigh W. T. Primary Production Of Intertidal Marine Macroalgae: Factors Influencing Primary Production Over Wide Spatial And Temporal Scales, PhD Thesis, University of Canterbury, New Zealand. (2010);
Literature;Raimondi P. Multi-agency Rocky Intertidal Network (marine) Study Of Rocky Intertidal Communities Adjacent To Ocs Activities. Boemre Cooperative Agreement Number M07ac12503 38. (2010);
Literature;Fujita, R., Wheeler, P. & Edwards, R. Assessment Of Macroalgal Nitrogen Limitation In A Seasonal Upwelling Region. Mar. Ecol. Prog. Ser. 53: 293-303 (2007) ;10.3354/meps053293
Literature;Sandra, C. L. An Annotated Bibliography Of The Benthic Marine Algae Of Alaska , Alaska Department Of Fish And Game, Technical Data Report, 31. (1977);
Literature;Sarah, L. C. The Roles Of Nutrient Dynamics, Oceanography, And Light In The Structure And Functioning Of Rocky Intertidal Macrophyte Assemblages, Phd Thesis, Oregon State University. (2014);
Literature;Bisgrove, S. R. Cytoskeleton And Early Development In Fucoid Algae. J. Integr. Plant Biol. 49: 8, 1192-1198 (2007) ;10.1111/j.1672-9072.2007.00518.x
Literature;Augytė, S. & Shaughnessy, F. A Floristic Analysis Of The Marine Algae And Seagrasses Between Cape Mendocino, California And Cape Blanco, Oregon, Usa. Bot. Mar. 0: 0,  (2014) ;10.1515ot-2013-0032
Literature;Farrell, T. Succession In A Rocky Intertidal Community: The Importance Of Disturbance Size And Position Within A Disturbed Patch. J. Exp. Mar. Biol. Ecol. 128: 1, 57-73 (2003) ;10.1016/0022-0981(89)90092-0
Literature;Austin W., Druehl L. & Haven S. Marine Benthic Habitats And Biota In The Bamfield Area. Bamfield Survey Part Iv, 1-30. (1971);
