aphiaID;parentAphiaID;acceptedAphiaID;name;scientificNameAuthorship;acceptedName;kingdom;phylum;class;order;family;genus;taxonRank;taxonomicStatus
622649;144199;622649;Laminaria appressirhiza;J.E.Petrov & V.B.Vozzhinskaya, 1970;Laminaria appressirhiza;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
494927;144132;494927;Sargassum johnsonii;V.J.Chapman, 1961;Sargassum johnsonii;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Sargassum;Species;accepted
371791;144194;371791;Alaria marginata;Postels & Ruprecht, 1840;Alaria marginata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Alaria;Species;accepted
371985;369527;371985;Costaria costata;(C.Agardh) De A.Saunders, 1895;Costaria costata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Costariaceae;Costaria;Species;accepted
372502;369610;372502;Egregia menziesii;(Turner) Areschoug, 1876;Egregia menziesii;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Egregia;Species;accepted
372517;370064;372517;Pleurophycus gardneri;Setchell & Saunders ex Tilden, 1900;Pleurophycus gardneri;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Pleurophycus;Species;accepted
374836;369836;374836;Lessonia corrugata;Lucas, 1931;Lessonia corrugata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Lessonia;Species;accepted
374804;370279;374804;Thalassiophyllum clathrus;(S.G.Gmelin) Postels & Ruprecht, 1840;Thalassiophyllum clathrus;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Agaraceae;Thalassiophyllum;Species;accepted
494968;144199;494968;Laminaria longipes;Bory de Saint-Vincent, 1826;Laminaria longipes;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
371993;144199;371993;Laminaria yezoensis;Miyabe, 1902;Laminaria yezoensis;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
526937;234482;234483;Saccharina subsimplex;(Setchell & N.L.Gardner) Widdowson, S.C.Lindstrom & P.W.Gabrielson, 2006;Saccharina latissima;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Saccharina;Species;unaccepted
547463;547462;547463;Eualaria fistulosa;(Postels & Ruprecht) M.J.Wynne, 2009;Eualaria fistulosa;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Eualaria;Species;accepted
499677;157205;499677;Agarum turneri;Postels & Ruprecht, 1840;Agarum turneri;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Agaraceae;Agarum;Species;accepted
495975;157205;157207;Agarum cribrosum;Bory de Saint-Vincent, 1826;Agarum clathratum;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Agaraceae;Agarum;Species;unaccepted
669498;369762;593702;Heterozostera nigricaulis;J.Kuo, 2005;Zostera nigricaulis;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Zosteraceae;Heterozostera;Species;unaccepted
499087;144199;234483;Laminaria groenlandica;Rosenvinge, 1893;Saccharina latissima;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;unaccepted
240750;240749;240750;Pterygophora californica;Ruprecht, 1852;Pterygophora californica;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Pterygophora;Species;accepted
372509;206527;232231;Macrocystis integrifolia;Bory de Saint-Vincent, 1826;Macrocystis pyrifera;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Macrocystis;Species;unaccepted
548340;144199;667215;Laminaria bongardiana;Postels & Ruprecht, 1840;Hedophyllum bongardianum;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;unaccepted
